,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,0.8976389008229068,-0.3848472445689362,0.19917379163050944,0.11461360352852558,0.02239398448983965,-0.17634279135083672,0.6085785840600938,0.23381458250460657,0.22256518741711773,-0.17175894157609875,0.6129280492497114
"Lead, Dissolved (52)",0.8976389008229068,1.0,-0.4748311399873967,0.1786653981439499,0.17769912933948764,-0.1754195451704106,-0.2906496167603297,0.5387724584403654,0.28726508570195286,0.3037715331894633,-0.2703062642964617,0.5404157444211367
pH (61),-0.3848472445689362,-0.4748311399873967,1.0,0.2856304619480753,0.14300678060839878,0.23554899668336643,0.5075219237183526,0.2085417622622613,0.2109276284170822,0.024202043536847077,0.4199383103533975,0.12526457803571753
"Cadmium, Dissolved (106)",0.19917379163050944,0.1786653981439499,0.2856304619480753,1.0,0.7852112874817798,-0.8475521614903676,0.3569748903680296,0.13121834510268693,0.7585035717181374,0.6895566762255251,0.1546892936183763,0.14464383276885823
Cadmium (108),0.11461360352852558,0.17769912933948764,0.14300678060839878,0.7852112874817798,1.0,-0.8491498107150233,0.15304177085270215,0.13156423976198542,0.7215261296821316,0.8715929104132074,0.22501895849267314,0.10503018959067838
Sulphate as SO4 (183),0.02239398448983965,-0.1754195451704106,0.23554899668336643,-0.8475521614903676,-0.8491498107150233,1.0,-0.12403736308417232,-0.16049022217718417,-0.8475521614903676,-0.8475521614903676,-0.20563801297754214,-0.3135157828577551
"Zinc, Dissolved (3408)",-0.17634279135083672,-0.2906496167603297,0.5075219237183526,0.3569748903680296,0.15304177085270215,-0.12403736308417232,1.0,0.27673987793238386,0.10621839606331425,-0.04472141624783926,0.8928322348037451,0.2523134987866645
Iron (6051),0.6085785840600938,0.5387724584403654,0.2085417622622613,0.13121834510268693,0.13156423976198542,-0.16049022217718417,0.27673987793238386,1.0,0.11893082419174619,0.1246196540563205,0.262175289862518,0.9232544890924305
"Copper, Dissolved (6450)",0.23381458250460657,0.28726508570195286,0.2109276284170822,0.7585035717181374,0.7215261296821316,-0.8475521614903676,0.10621839606331425,0.11893082419174619,1.0,0.8296365292401919,0.02741555624339591,0.10083492628658013
Copper (6452),0.22256518741711773,0.3037715331894633,0.024202043536847077,0.6895566762255251,0.8715929104132074,-0.8475521614903676,-0.04472141624783926,0.1246196540563205,0.8296365292401919,1.0,-0.005622627576812674,0.08121939519522209
Zinc (6455),-0.17175894157609875,-0.2703062642964617,0.4199383103533975,0.1546892936183763,0.22501895849267314,-0.20563801297754214,0.8928322348037451,0.262175289862518,0.02741555624339591,-0.005622627576812674,1.0,0.2701194486038699
"Iron, Dissolved (6460)",0.6129280492497114,0.5404157444211367,0.12526457803571753,0.14464383276885823,0.10503018959067838,-0.3135157828577551,0.2523134987866645,0.9232544890924305,0.10083492628658013,0.08121939519522209,0.2701194486038699,1.0
