,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.8829556124541998,-0.41168979598112004,0.3440070626811798,0.3341849159318383,-0.1564708485763728,0.17790743271606393,-0.36850876817897227,0.16036610287406966,0.22674471551635023,0.06116607322797647,-0.11614105354720879
"log10 Lead, Dissolved (52)",0.8829556124541998,1.0,-0.4259227966970823,0.34402680312349254,0.22810081858287518,-0.25559419346492646,0.14894631022099186,-0.6381760602578537,0.26789120494887625,0.2220945376205717,0.02257875128305127,-0.1086939210162763
log10 pH (61),-0.41168979598112004,-0.4259227966970823,1.0,-0.3518171833656842,-0.24111762545780527,0.17479854410252801,-0.11914416411521557,0.30753932979725435,-0.18496966046470767,-0.21319031452545295,-0.07214503149183836,0.06102504082427375
"log10 Cadmium, Dissolved (106)",0.3440070626811798,0.34402680312349254,-0.3518171833656842,1.0,0.505882194974215,0.36563679903323365,0.10886612817250961,-0.10296187002173973,0.29853971610967445,0.454772534525199,0.22543351825799574,0.06168120291006235
log10 Cadmium (108),0.3341849159318383,0.22810081858287518,-0.24111762545780527,0.505882194974215,1.0,0.19795690822708611,0.5110135967144875,-0.10305338909868975,-0.09615770255265667,-0.13483712172285398,0.6461840879840691,-0.03722825960316961
log10 Sulphate as SO4 (183),-0.1564708485763728,-0.25559419346492646,0.17479854410252801,0.36563679903323365,0.19795690822708611,1.0,0.09468013538695491,0.3243114183475788,0.22863758210952906,0.3339807316976558,0.5771613869261669,0.03644551583980067
"log10 Zinc, Dissolved (3408)",0.17790743271606393,0.14894631022099186,-0.11914416411521557,0.10886612817250961,0.5110135967144875,0.09468013538695491,1.0,-0.07084268510876375,-0.046392918036138986,-0.1990507441330374,0.6549177169663813,-0.137565229775237
log10 Iron (6051),-0.36850876817897227,-0.6381760602578537,0.30753932979725435,-0.10296187002173973,-0.10305338909868975,0.3243114183475788,-0.07084268510876375,1.0,-0.1554740750901689,0.06109347014714863,-0.007716187874846484,0.46947263668150957
"log10 Copper, Dissolved (6450)",0.16036610287406966,0.26789120494887625,-0.18496966046470767,0.29853971610967445,-0.09615770255265667,0.22863758210952906,-0.046392918036138986,-0.1554740750901689,1.0,0.8823345851388257,0.3571315013547365,-0.16632959791950805
log10 Copper (6452),0.22674471551635023,0.2220945376205717,-0.21319031452545295,0.454772534525199,-0.13483712172285398,0.3339807316976558,-0.1990507441330374,0.06109347014714863,0.8823345851388257,1.0,0.12794184259212718,-0.0086945013240064
log10 Zinc (6455),0.06116607322797647,0.02257875128305127,-0.07214503149183836,0.22543351825799574,0.6461840879840691,0.5771613869261669,0.6549177169663813,-0.007716187874846484,0.3571315013547365,0.12794184259212718,1.0,-0.23709761096450008
"log10 Iron, Dissolved (6460)",-0.11614105354720879,-0.1086939210162763,0.06102504082427375,0.06168120291006235,-0.03722825960316961,0.03644551583980067,-0.137565229775237,0.46947263668150957,-0.16632959791950805,-0.0086945013240064,-0.23709761096450008,1.0
