,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,0.9119375413690798,-0.4282019271903603,-0.0128315171069534,-0.03102680873374589,-0.005459484585169473,-0.19764915415712864,0.5742154944470499,-0.00016947797795834301,-0.015185071427906469,-0.25948089407906033,0.6542905464446865
"Lead, Dissolved (52)",0.9119375413690798,1.0,-0.5696039792629777,0.12114884475806956,0.124503123753766,-0.21493464755627933,-0.31584664466221396,0.34392756259412915,0.14149526199012283,0.1501719334952104,-0.33176930904623153,0.505849440269056
pH (61),-0.4282019271903603,-0.5696039792629777,1.0,0.12613370993538414,0.045470980524184974,0.14695400987234655,0.5784266496610346,0.15063962675415915,0.13435987553005854,0.039637149064503024,0.5673125620030287,0.1515934779552632
"Cadmium, Dissolved (106)",-0.0128315171069534,0.12114884475806956,0.12613370993538414,1.0,0.9072184786048678,-0.8690864440918075,-0.13427623145080567,0.12370935519831246,0.9947028976013044,0.9083602796806012,-0.11530039614700782,0.059144979420210984
Cadmium (108),-0.03102680873374589,0.124503123753766,0.045470980524184974,0.9072184786048678,1.0,-0.8703681594865986,-0.19653586752161264,0.10650931108602209,0.9035212658426509,0.9957301429857847,-0.11054464011894452,0.02627214112555555
Sulphate as SO4 (183),-0.005459484585169473,-0.21493464755627933,0.14695400987234655,-0.8690864440918075,-0.8703681594865986,1.0,0.16689927415948852,-0.18236564511316447,-0.8532972968189816,-0.8493344456120412,-0.2818557922097102,-0.3015619169706593
"Zinc, Dissolved (3408)",-0.19764915415712864,-0.31584664466221396,0.5784266496610346,-0.13427623145080567,-0.19653586752161264,0.16689927415948852,1.0,0.03220087476821002,-0.14121686794462188,-0.19998429313699262,0.6900094628632901,0.21011710951650622
Iron (6051),0.5742154944470499,0.34392756259412915,0.15063962675415915,0.12370935519831246,0.10650931108602209,-0.18236564511316447,0.03220087476821002,1.0,0.1393586104041746,0.12146477618806469,0.05118714714889337,0.839789349841268
"Copper, Dissolved (6450)",-0.00016947797795834301,0.14149526199012283,0.13435987553005854,0.9947028976013044,0.9035212658426509,-0.8532972968189816,-0.14121686794462188,0.1393586104041746,1.0,0.9117518869476204,-0.10161732595677189,0.08306378283320258
Copper (6452),-0.015185071427906469,0.1501719334952104,0.039637149064503024,0.9083602796806012,0.9957301429857847,-0.8493344456120412,-0.19998429313699262,0.12146477618806469,0.9117518869476204,1.0,-0.111487545059857,0.05273571498215888
Zinc (6455),-0.25948089407906033,-0.33176930904623153,0.5673125620030287,-0.11530039614700782,-0.11054464011894452,-0.2818557922097102,0.6900094628632901,0.05118714714889337,-0.10161732595677189,-0.111487545059857,1.0,0.2824729761073442
"Iron, Dissolved (6460)",0.6542905464446865,0.505849440269056,0.1515934779552632,0.059144979420210984,0.02627214112555555,-0.3015619169706593,0.21011710951650622,0.839789349841268,0.08306378283320258,0.05273571498215888,0.2824729761073442,1.0
