,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.850849215301867,-0.398023700926337,-0.03862242451355465,-0.04444943261208673,0.08789958974652033,-0.1560259884186142,0.5748374955216448,0.0028083927217529975,0.008746056308213354,-0.21983076561546283,0.4660258883653628
"log10 Lead, Dissolved (52)",0.850849215301867,1.0,-0.5277268872181804,0.09961028297934563,0.13542002022024627,-0.19506672849277795,-0.3040669974847906,0.5834237436984634,0.16867494121632523,0.21103805381731822,-0.3027527585848707,0.445414188515106
log10 pH (61),-0.398023700926337,-0.5277268872181804,1.0,0.18388286672051765,0.08375758026058334,0.16813898618068912,0.6237520264849717,0.15442292673555405,0.16594721972828386,0.035283666586397984,0.6031962622730658,0.1869640109007885
"log10 Cadmium, Dissolved (106)",-0.03862242451355465,0.09961028297934563,0.18388286672051765,1.0,0.8730090363448689,-0.9159734707133352,-0.00714099676962831,0.048609835936374905,0.9731026331280417,0.8607008622420685,0.003068333642331153,-0.05168950643687871
log10 Cadmium (108),-0.04444943261208673,0.13542002022024627,0.08375758026058334,0.8730090363448689,1.0,-0.9192091740249305,-0.085851744484206,0.07212179135786988,0.8549039670779661,0.9811897510083187,0.017135982153494794,-0.05068013878949602
log10 Sulphate as SO4 (183),0.08789958974652033,-0.19506672849277795,0.16813898618068912,-0.9159734707133352,-0.9192091740249305,1.0,0.12306140790058469,-0.1550627815671831,-0.9010692593711802,-0.9023816126235837,-0.29033749062231967,-0.26302704674262334
"log10 Zinc, Dissolved (3408)",-0.1560259884186142,-0.3040669974847906,0.6237520264849717,-0.00714099676962831,-0.085851744484206,0.12306140790058469,1.0,0.18292170315540954,-0.06921592285325817,-0.13216665120198468,0.8033677702667901,0.3297810628691598
log10 Iron (6051),0.5748374955216448,0.5834237436984634,0.15442292673555405,0.048609835936374905,0.07212179135786988,-0.1550627815671831,0.18292170315540954,1.0,0.09514344355592651,0.1131419906174887,0.21765924303838033,0.852543441647439
"log10 Copper, Dissolved (6450)",0.0028083927217529975,0.16867494121632523,0.16594721972828386,0.9731026331280417,0.8549039670779661,-0.9010692593711802,-0.06921592285325817,0.09514344355592651,1.0,0.8748341686469131,-0.027585581847198743,-0.011144777785001385
log10 Copper (6452),0.008746056308213354,0.21103805381731822,0.035283666586397984,0.8607008622420685,0.9811897510083187,-0.9023816126235837,-0.13216665120198468,0.1131419906174887,0.8748341686469131,1.0,-0.036993890277110954,-0.007824643707197574
log10 Zinc (6455),-0.21983076561546283,-0.3027527585848707,0.6031962622730658,0.003068333642331153,0.017135982153494794,-0.29033749062231967,0.8033677702667901,0.21765924303838033,-0.027585581847198743,-0.036993890277110954,1.0,0.3890890870388466
"log10 Iron, Dissolved (6460)",0.4660258883653628,0.445414188515106,0.1869640109007885,-0.05168950643687871,-0.05068013878949602,-0.26302704674262334,0.3297810628691598,0.852543441647439,-0.011144777785001385,-0.007824643707197574,0.3890890870388466,1.0
