year,date,50_Pugh,52_Pugh,106_Pugh,108_Pugh,207_Pugh,211_Pugh,237_Pugh,241_Pugh,3408_Pugh,6037_Pugh,6050_Pugh,6051_Pugh,6057_Pugh,6450_Pugh,6452_Pugh,6455_Pugh,6458_Pugh,6460_Pugh
2024,2024/1/25,706,494,23.0,24.2,5.37,0.448,5.56,17.6,18300,10.0,296,556,159.0,2.47,5.05,19700,290.0,253
2024,2024/3/7,574,446,23.8,22.2,5.51,0.481,5.54,17.2,23000,10.0,315,636,117.0,3.11,5.49,17700,305.0,330
2024,2024/4/9,743,552,23.6,22.5,5.02,0.461,4.74,14.4,17900,10.1,249,429,122.0,3.59,5.37,17300,249.0,256
2024,2024/5/2,565,266,21.3,21.1,5.47,0.501,5.96,19.1,18000,10.0,362,799,119.0,1.51,4.59,18800,355.0,327
2024,2024/6/4,558,342,21.6,21.1,5.48,0.505,5.61,17.8,17300,10.0,325,638,99.7,2.37,4.79,17900,325.0,558
2024,2024/7/2,465,231,20.8,21.0,5.66,0.531,6.14,19.6,18100,10.0,375,738,88.6,1.96,4.08,17700,366.0,363
2024,2024/8/6,468,239,22.0,21.8,5.89,0.537,6.4,20.6,18600,10.0,381,727,96.0,1.03,3.74,18400,387.0,405
2024,2024/9/2,659,233,21.1,22.6,6.12,0.534,6.35,20.5,18600,10.0,381,1020,142.0,1.26,5.54,19700,382.0,418
2024,2024/10/9,545,316,22.6,21.7,5.41,0.1,5.98,18.8,20100,10.0,348,716,106.0,2.96,4.85,19400,350.0,386
2024,2024/11/6,497,262,22.5,22.6,5.77,0.531,6.13,19.5,18100,10.0,366,749,104.0,1.6,4.56,19400,361.0,396
2024,2024/12/4,741,574,29.0,28.6,5.49,0.534,5.62,17.3,22100,12.4,294,566,160.0,4.71,6.78,22500,293.0,333
