site,indicator,y,lag_rain,lag_temp,term,coef,se,t,p,R2,R2_adj,BIC,n
S35636,Zinc (6455),log10 6455_s36,-11,0,temp_lag,0.429130457,0.064234504,6.680684482,2.38E-11,-45.05530786,-91.11061571,64.4969753,25
Nenthead,Lead (50),log10 50_NE43200168,2,0,rain_lag,0.006126504,0.001207003,5.075798797,3.86E-07,-0.072642049,-0.174798435,276.4694713,139
Nenthead,Lead (50),log10 50_NE43200168,2,0,temp_lag,0.199152634,0.040973095,4.860570873,1.17E-06,-0.072642049,-0.174798435,276.4694713,139
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,rain_lag,0.005191298,0.00072113,7.198839843,6.07E-13,0.153091614,0.073068774,179.8917115,140
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,temp_lag,0.098494521,0.026188117,3.761038696,0.000169209,0.153091614,0.073068774,179.8917115,140
Nenthead,pH (61),log10 61_NE43200168,3,3,rain_lag,0.001864536,0.00042459,4.391378088,1.13E-05,-129.0128707,-142.3475242,-74.48445383,130
Nenthead,pH (61),log10 61_NE43200168,3,3,temp_lag,0.050172855,0.007637552,6.569232994,5.06E-11,-129.0128707,-142.3475242,-74.48445383,130
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,rain_lag,0.001564237,0.000437028,3.579259544,0.000344569,-0.082275982,-0.186174477,48.40818106,138
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,temp_lag,0.098750446,0.017439723,5.662385994,1.49E-08,-0.082275982,-0.186174477,48.40818106,138
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,rain_lag,0.001956904,0.000452863,4.321187557,1.55E-05,-0.0725212,-0.174666077,41.38038455,139
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,temp_lag,0.105137856,0.018146194,5.793934385,6.88E-09,-0.0725212,-0.174666077,41.38038455,139
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,rain_lag,0.005641827,0.00125277,4.503480436,6.68E-06,-1.743871642,-2.013760656,205.567699,135
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,temp_lag,0.107171399,0.019025665,5.6329909,1.77E-08,-1.743871642,-2.013760656,205.567699,135
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,rain_lag,0.003674839,0.003944624,0.931606875,0.351539729,-0.045198721,-0.146346984,567.393878,137
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,temp_lag,0.167343556,0.054424955,3.074757822,0.002106735,-0.045198721,-0.146346984,567.393878,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,rain_lag,0.008765311,0.001394478,6.285728913,3.26E-10,-0.911811509,-1.096825526,307.671989,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,temp_lag,0.280841158,0.055166184,5.090820811,3.57E-07,-0.911811509,-1.096825526,307.671989,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,rain_lag,0.004126709,0.002144314,1.924489308,0.05429328,0.081334233,-0.007568906,359.976221,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,temp_lag,0.052262254,0.052790232,0.989998576,0.322174815,0.081334233,-0.007568906,359.976221,137
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,rain_lag,-0.001633262,0.001509747,-1.081812267,0.279335954,0.103902022,0.017876616,288.2028426,138
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,temp_lag,0.055436638,0.030856515,1.796594288,0.072400052,0.103902022,0.017876616,288.2028426,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,rain_lag,0.003559409,0.003468446,1.026225836,0.304785146,-0.06109585,-0.162961052,547.7367318,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,temp_lag,0.188169771,0.050044448,3.760052878,0.000169877,-0.06109585,-0.162961052,547.7367318,138
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,rain_lag,0.00591064,0.001044301,5.659901787,1.51E-08,-0.395077474,-0.530084972,218.0498554,137
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,temp_lag,0.09237939,0.016762125,5.51119797,3.56E-08,-0.395077474,-0.530084972,218.0498554,137
