site,Driver,Indicator,indicator_code,best_lag_pwhite,ccf_pwhite,best_lag_raw,ccf_raw,abs_ccf_pwhite
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,2,0.1730677515347675,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,0,0.3686345047599974,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,-10,-0.1843136322544044,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,0,-0.1324281274701802,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,0,-0.1664036178252901,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,-11,-0.1855259029717589,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,9,-0.2715622764188191,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,9,-0.2200841203858432,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,9,0.2567992121578935,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,-12,0.1539557998753693,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,9,-0.2707434438511166,0.3286230902583503
Nenthead,Rainfall,<NA>,,0,0.3286230902583503,0,0.2417864800392652,0.3286230902583503
S35629,Rainfall,<NA>,,0,0.6696477200962527,0,0.5816066279973974,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,0,0.6703777671256181,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,12,-0.2670574944626707,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,0,0.5582043686300671,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,4,-0.3971257500387154,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,-12,-0.3604971914428023,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,4,-0.3180988866240057,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,0,-0.3640852294487278,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,0,0.4083744517848893,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,-5,-0.3867661934068871,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,4,-0.3581319646268468,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.6696477200962527,2,-0.3305543488898227,0.6696477200962527
S35629,Rainfall,<NA>,,0,0.5807356970731388,0,0.5816066279973974,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,0,0.6703777671256181,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,12,-0.2670574944626707,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,0,0.5582043686300671,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,4,-0.3971257500387154,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,-12,-0.3604971914428023,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,4,-0.3180988866240057,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,0,-0.3640852294487278,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,0,0.4083744517848893,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,-5,-0.3867661934068871,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,4,-0.3581319646268468,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5807356970731388,2,-0.3305543488898227,0.5807356970731388
S35629,Rainfall,<NA>,,0,0.5696579341798599,0,0.5816066279973974,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,0,0.6703777671256181,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,12,-0.2670574944626707,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,0,0.5582043686300671,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,4,-0.3971257500387154,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,-12,-0.3604971914428023,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,4,-0.3180988866240057,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,0,-0.3640852294487278,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,0,0.4083744517848893,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,-5,-0.3867661934068871,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,4,-0.3581319646268468,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.5696579341798599,2,-0.3305543488898227,0.5696579341798599
S35629,Rainfall,<NA>,,0,0.4150393389039868,0,0.5816066279973974,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,0,0.6703777671256181,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,12,-0.2670574944626707,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,0,0.5582043686300671,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,4,-0.3971257500387154,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,-12,-0.3604971914428023,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,4,-0.3180988866240057,0.4150393389039868
S35629,Rainfall,<NA>,,0,0.4150393389039868,0,-0.3640852294487278,0.4150393389039868
