code,name,column,n,missing_%,min,median,mean,p95,skewness,%<=0
50,Lead,50_S29,54,0.0,320.0,554.0,596.6481481481482,893.9999999999998,0.9390376748355493,0.0
52,"Lead, Dissolved",52_S29,54,0.0,110.0,293.5,363.98148148148147,778.1499999999997,1.2085689967433249,0.0
61,pH,61_S29,53,1.9,6.07,6.5,6.503584905660377,6.82,-0.32481186839110565,1.9
106,"Cadmium, Dissolved",106_S29,54,0.0,20.0,26.5,27.024074074074072,33.74,0.9789015681723624,0.0
108,Cadmium,108_S29,54,0.0,10.0,25.5,26.12592592592592,36.25499999999997,0.7680775302309089,0.0
183,Sulphate as SO4,183_S29,46,14.8,21.6,83.65,85.41304347826087,104.5,1.4378758447531097,14.8
3408,"Zinc, Dissolved",3408_S29,54,0.0,1950.0,21300.0,24812.037037037036,28974.999999999996,6.918762512869463,0.0
6051,Iron,6051_S29,54,0.0,429.0,756.0,782.1666666666666,1079.499999999999,1.1412332635773308,0.0
6450,"Copper, Dissolved",6450_S29,54,0.0,1.0,2.535,4.672592592592593,11.054999999999993,1.441335247726377,0.0
6452,Copper,6452_S29,54,0.0,3.31,6.065,7.387037037037038,13.004999999999999,1.7336698149002325,0.0
6455,Zinc,6455_S29,53,1.9,2410.0,20900.0,22028.490566037737,30859.999999999996,-0.15448690742297735,1.9
6460,"Iron, Dissolved",6460_S29,54,0.0,199.0,379.5,383.8333333333333,525.4499999999999,0.07928872493287911,0.0
