date,year,50_Pugh,52_Pugh,61_Pugh,76_Pugh,77_Pugh,106_Pugh,108_Pugh,111_Pugh,116_Pugh,135_Pugh,183_Pugh,205_Pugh,207_Pugh,209_Pugh,211_Pugh,235_Pugh,237_Pugh,239_Pugh,241_Pugh,3164_Pugh,3408_Pugh,3409_Pugh,3410_Pugh,6037_Pugh,6050_Pugh,6051_Pugh,6057_Pugh,6059_Pugh,6062_Pugh,6063_Pugh,6450_Pugh,6452_Pugh,6455_Pugh,6458_Pugh,6460_Pugh,6462_Pugh,6693_Pugh,9446_Pugh,9447_Pugh,9901_Pugh
2010/12/13,2010,652,206,6.85,9.55,279,26.8,26.8,0.03,0.2,3.78,89.5,,5.71,,0.579,,6.75,,22.2,,20600,,27.7,10,442,1210,247,,,,1,7,21000,,483,33.2,,,,
2011/1/7,2011,488,254,6.82,9.28,245,26.8,25.7,0.03,0.2,4.1,85.4,,5.7,,0.596,,6.51,,21.5,,18600,,26.5,10,420,942,162,,,,1.3,5.5,20900,,523,33.9,,,,
2011/8/3,2011,527,239,6.71,,284,28.3,28.5,,,,,,5.23,,0.57,,6.57,,21.2,,21300,,34.1,10,428,994,155,,,,1.75,5.78,21700,437,479,35.4,,,,72.6
2011/9/2,2011,560,269,6.82,,292,29.5,28.8,,,,95.5,,6.05,,0.605,,6.88,,22.5,,21400,,34.1,10,422,972,177,,,,1.11,5.36,23400,426,487,33.5,,,,80.6
2011/9/15,2011,645,354,6.71,,275,28.5,30,,,,,,5.85,,0.543,,6.28,,20.4,,21800,,34.9,10,396,1020,205,,,,3.62,7.37,21900,404,592,34.8,,,,70.7
2011/10/24,2011,564,316,,,263,26.8,26.7,,,,85.9,,5.43,,0.558,,6.24,,20,,22300,,31.7,10,399,935,176,,,,2.6,6.15,20900,390,504,32.4,,,,72.9
2011/11/9,2011,586,273,6.32,,258.9,25.3,25.5,,,,83.5,,5.67,,0.571,,6.31,,20.4,,20400,,30.3,10,387,1010,208,,,,1.84,6.55,19100,391,438,31,,,,67.3
2011/11/18,2011,491,252,6.16,,261.8,25.1,25.2,,,,83,,5.29,,0.562,,6.29,,20.6,,20100,,30.7,10,398,856,148,,,,1.34,4.54,19000,403,439,29.1,,,,75.2
2011/12/20,2011,1160,977,6.11,,258.4,40.4,39.7,,,,86,,5.29,,0.476,,5.2,,15.4,,28800,,40,31.8,251,675,494,,,,10.6,12.9,26200,248,351,40.1,,,,77
2012/1/12,2012,888,760,6.14,,231.9,30.8,30.9,,,,77.6,,5.13,,0.463,,4.9,,15.1,,22300,,32.9,20.8,254,471,290,,,,6.65,8.74,22200,255,295,32.6,,,,78.2
2012/1/25,2012,757,622,6.3,,233.6,29.5,29.2,,,,75.8,,5.25,,0.478,,5.17,,17,,19900,,31.3,11.2,287,558,230,,,,4.81,7.25,19500,285,349,30.4,,,,72.5
2012/2/2,2012,554,371,6.51,,233.5,25.3,25.2,,,,74.5,,5.41,,0.52,,5.41,,17,,17900,,28,10,329,707,164,,,,3.33,6.37,19200,336,423,27.1,,,,71.3
2012/3/7,2012,567,310,6.58,8.8,235.4,23.1,23.3,,,,,5.61,5.58,0.514,0.549,5.84,5.84,19,19.1,0.5,18200,0.5,26.8,10,360,743,154,100,13.5,64.6,1.8,5.22,18000,358,376,26.5,65.3,13.1,100,74.4
2012/3/28,2012,498,224,6.51,10.4,257.4,23.2,23.2,,,,,5.67,5.54,0.55,0.535,6.34,6.2,20.6,20.8,0.5,19000,0.5,28.5,10,398,824,122,100,13.4,80,1.19,4.49,18500,399,394,28,71.4,13.6,100,78.2
2022/1/17,2022,832,288,,9.1,226.3,22.7,22.4,0.005,0.2,4,73.1,5.38,5.48,0.669,0.678,5.72,5.73,18,18.2,0.5,17200,0.5,24.7,10,339,1230,192,100,16.6,62,2.13,7.19,18300,332,326,26.8,61,15.4,100,74.7
2022/2/15,2022,838,662,,9.4,217.7,26.2,27,0.005,0.2,3,74,5.11,5.53,0.473,0.46,4.98,5.32,15,16.2,0.5,20000,0.5,27.7,10.1,272,502,169,100,13.2,58.1,3.99,5.89,20100,260,276,28,54.9,11.5,100,77.6
2022/5/5,2022,498,181,,10.5,254.1,23.5,22.6,0.0083,0.2,3,83.3,5.72,6.15,0.618,0.611,6.48,6.76,20.9,21.7,0.5,19200,0.5,28.2,10,398,860,107,100,15.6,80.8,1,3.69,19200,392,380,26.9,75.9,14.4,100,79.8
2022/6/14,2022,425,146,,12.8,276.9,23.4,23.6,0.0092,0.2,3,89.7,6.45,6.57,0.628,0.68,6.68,7.1,22.1,23.5,0.5,20500,0.5,29,10,415,715,89.7,100,15.9,89.3,1,3.32,20000,406,205,29.2,83.7,15,100,97.4
2022/7/14,2022,396,122,,10.6,280.1,24.7,25.5,0.005,0.2,3,93.6,6.7,6.34,0.518,0.589,7.26,7.26,23.7,23.8,0.5,21200,0.5,30.2,10,428,690,88.9,100,13.6,92,1,3.31,21300,433,199,29.3,95.3,15.8,100,84.4
2022/8/10,2022,538,304,,12.1,271.9,25.1,25.2,0.0057,0.2,3,90.9,7.94,6.74,0.558,0.648,6.8,6.67,22.1,21.7,0.5,21300,0.5,30.5,10,376,810,114,100,14.6,89.4,1,4.29,20200,371,488,31.3,91.4,15.1,100,95.9
2022/9/7,2022,729,440,,11.3,279.6,32.4,32.6,0.0061,0.22,3,95.4,6.48,6.18,0.429,0.442,6.77,6.63,21.7,21.1,0.5,24700,0.5,31.6,10,412,754,173,100,13.2,85.6,1.4,5.09,25600,409,379,32.6,87.8,13.7,100,88.3
2022/10/6,2022,871,761,,10,253.7,33.6,32.4,0.005,0.2,4,90.4,6.16,6.12,0.488,0.542,5.82,5.96,18,18.4,0.5,23900,0.5,32.5,11.4,331,703,219,100,12.6,72.7,2.81,5.98,24100,325,339,33,70.9,13.1,100,82.3
2022/11/10,2022,830,724,,9.9,237.5,30.6,31.9,0.0056,0.23,3,80.2,5.82,5.8,0.525,0.596,5.7,5.72,17.2,17.2,0.5,23100,0.5,34,12.5,278,580,230,100,12.9,58.6,4.25,6.73,22900,283,379,34,58.3,12.2,100,76.6
2022/12/8,2022,498,277,,9.4,258.1,25.4,26,0.005,0.2,3,82.3,6.26,6.07,0.592,0.681,6.36,6.64,20.4,20.8,0.5,20300,0.5,32.1,33,392,786,124,100,16.6,70.9,1.85,5.02,20500,379,398,33,68.8,15.2,100,78.9
2024/1/3,2024,998,829,,9.7,213.1,34,34.4,0.005,0.2,3,77.6,6.91,4.93,0.569,0.382,4.83,4.79,14.1,14.1,0.5,29300,0.5,33,45.4,224,502,278,100,12,45.3,11.9,13.2,30300,227,258,31.7,46.6,12.4,100,87.8
2024/1/25,2024,706,494,,9.7,219.7,23,24.2,0.0064,0.21,11,74.1,5.8,5.37,0.46,0.448,5.34,5.56,16.9,17.6,0.5,18300,0.5,25.2,10,296,556,159,100,12.2,60.2,2.47,5.05,19700,290,253,24.7,58.3,11.8,100,80.6
2024/3/7,2024,574,446,,9.6,220.3,23.8,22.2,0.005,0.2,3,21.6,5.4,5.51,0.538,0.481,5.53,5.54,17.6,17.2,0.5,23000,0.5,24,10,315,636,117,100,12.6,59,3.11,5.49,17700,305,330,24.4,58.7,13,100,78
2024/4/9,2024,743,552,,9.7,203.8,23.6,22.5,0.005,0.21,3,65.3,5.2,5.02,0.433,0.461,4.95,4.74,14.7,14.4,0.5,17900,0.5,23.3,10.1,249,429,122,100,11.2,48,3.59,5.37,17300,249,256,23.7,50.1,10,100,85.8
2024/5/2,2024,565,266,,9.9,231.7,21.3,21.1,0.005,0.2,3,74.1,5.55,5.47,0.446,0.501,5.88,5.96,18.7,19.1,0.5,18000,0.5,24.5,10,362,799,119,100,14,67.6,1.51,4.59,18800,355,327,24.4,66.2,12.4,100,75
2024/6/4,2024,558,342,,10,226.2,21.6,21.1,0.0105,0.2,5.5,73.3,5.59,5.48,0.532,0.505,5.8,5.61,17.7,17.8,0.5,17300,0.5,24.6,10,325,638,99.7,100,13.1,63.4,2.37,4.79,17900,325,558,24.3,64.9,13.4,100,81.5
2024/7/2,2024,465,231,,10.4,239.4,20.8,21,0.005,0.2,3,77.2,5.59,5.66,0.489,0.531,6.02,6.14,19.4,19.6,0.5,18100,0.5,25.8,10,375,738,88.6,100,13.2,69.2,1.96,4.08,17700,366,363,24.9,67.3,12.9,100,79.2
2024/8/6,2024,468,239,,10.6,250.3,22,21.8,0.005,0.2,3,80.7,5.94,5.89,0.549,0.537,6.37,6.4,20.5,20.6,0.5,18600,0.5,26.8,10,381,727,96,100,14.1,75.7,1.03,3.74,18400,387,405,26.5,75.8,14.2,100,86.4
2024/9/2,2024,659,233,,10.5,243.4,21.1,22.6,0.005,0.21,3,75.9,6.04,6.12,0.577,0.534,6.24,6.35,20,20.5,0.5,18600,0.5,27.7,10,381,1020,142,100,13.9,76.2,1.26,5.54,19700,382,418,27.1,75,13.3,100,87.2
2024/10/9,2024,545,316,,10.1,239.3,22.6,21.7,0.0066,0.2,3,77.7,5.67,5.41,0.471,0.1,6.05,5.98,19.1,18.8,0.5,20100,0.5,29.3,10,348,716,106,100,13.3,63.5,2.96,4.85,19400,350,386,28.5,65.2,13.5,100,75.9
2024/11/6,2024,497,262,,10.2,237.6,22.5,22.6,0.005,0.2,3,75.9,5.7,5.77,0.497,0.531,6.07,6.13,19.3,19.5,0.5,18100,0.5,26.2,10,366,749,104,100,13.6,67.8,1.6,4.56,19400,361,396,26.8,66.8,13.4,100,81.7
2024/12/4,2024,741,574,,9.8,228.2,29,28.6,0.005,0.2,3,83.8,5.57,5.49,0.535,0.534,5.61,5.62,17.1,17.3,0.5,22100,0.5,33,12.4,294,566,160,100,13.2,55.8,4.71,6.78,22500,293,333,31,55.6,13,100,80.4
